Well,Task,Analysis Group,Protein,Ligand,Buffer,Salt,Omit
D07,Sample,AG 1,Protein 1,alpha-Keto-Butyric Acid,,,
D08,Sample,AG 1,Protein 1,alpha-Methyl-D-Galactoside,,,
D09,Sample,AG 1,Protein 1,alpha-D-Lactose,,,
D10,Sample,AG 1,Protein 1,Lactulose,,,
D11,Sample,AG 1,Protein 1,Sucrose,,,
D12,Sample,AG 1,Protein 1,Uridine,,,
E01,Sample,AG 1,Protein 1,L-Glutamine,,,
E02,Sample,AG 1,Protein 1,m-Tartaric Acid,,,
E03,Sample,AG 1,Protein 1,D-Glucose-1-Phosphate,,,
E04,Sample,AG 1,Protein 1,D-Fructose-6-Phosphate,,,
E05,Sample,AG 1,Protein 1,Tween 80,,,
E06,Sample,AG 1,Protein 1,alpha-Hydroxy Glutaric Acid-gamma-Lactone,,,
E07,Sample,AG 1,Protein 1,alpha-Hydroxy Butyric Acid,,,
E08,Sample,AG 1,Protein 1,beta-Methyl-D-Glucoside,,,
E09,Sample,AG 1,Protein 1,Adonitol,,,
E10,Sample,AG 1,Protein 1,Maltotriose,,,
E11,Sample,AG 1,Protein 1,2-Deoxy Adenosine,,,
E12,Sample,AG 1,Protein 1,Adenosine,,,
F01,Sample,AG 1,Protein 1,Glycyl-L-Aspartic Acid,,,
F02,Sample,AG 1,Protein 1,Citric Acid,,,
F03,Sample,AG 1,Protein 1,m-Inositol,,,
F04,Sample,AG 1,Protein 1,D-Threonine,,,
F05,Sample,AG 1,Protein 1,Fumaric Acid,,,
F06,Sample,AG 1,Protein 1,Bromo Succinic Acid,,,
F07,Sample,AG 1,Protein 1,Propionic Acid,,,
F08,Sample,AG 1,Protein 1,Mucic Acid,,,
F09,Sample,AG 1,Protein 1,Glycolic Acid,,,
F10,Sample,AG 1,Protein 1,Glyoxylic Acid,,,
F11,Sample,AG 1,Protein 1,D-Cellobiose,,,
F12,Sample,AG 1,Protein 1,Inosine,,,
G01,Sample,AG 1,Protein 1,Glycyl-L-Glutamic Acid,,,
G02,Sample,AG 1,Protein 1,Tricarballylic Acid,,,
G03,Sample,AG 1,Protein 1,L-Serine,,,
G04,Sample,AG 1,Protein 1,L-Threonine,,,
G05,Sample,AG 1,Protein 1,L-Alanine,,,
G06,Sample,AG 1,Protein 1,L-Alanyl-Glycine,,,
G07,Sample,AG 1,Protein 1,Acetoacetic Acid,,,
G08,Sample,AG 1,Protein 1,N-Acetyl-beta-D-Mannosamine,,,
G09,Sample,AG 1,Protein 1,Mono Methyl Succinate,,,
G10,Sample,AG 1,Protein 1,Methyl Pyruvate,,,
G11,Sample,AG 1,Protein 1,D-Malic Acid,,,
G12,Sample,AG 1,Protein 1,L-Malic Acid,,,
H01,Sample,AG 1,Protein 1,Glycyl-L-Proline,,,
H02,Sample,AG 1,Protein 1,p-Hydroxy Phenyl Acetic Acid,,,
H03,Sample,AG 1,Protein 1,m-Hydroxy Phenyl Acetic Acid,,,
H04,Sample,AG 1,Protein 1,Tyramine,,,
H05,Sample,AG 1,Protein 1,D-Psicose,,,
H06,Sample,AG 1,Protein 1,L-Lyxose,,,
H07,Sample,AG 1,Protein 1,Glucuronamide,,,
H08,Sample,AG 1,Protein 1,Pyruvic Acid,,,
H09,Sample,AG 1,Protein 1,L-Galactonic Acid-gamma-Lactone,,,
H10,Sample,AG 1,Protein 1,D-Galacturonic Acid,,,
H11,Sample,AG 1,Protein 1,Phenylethyl-amine,,,
H12,Sample,AG 1,Protein 1,2-Aminoethanol,,,
