Well,Task,Analysis Group,Protein,Ligand,Buffer,Salt,Omit
C10,Sample,AG 1,Protein 1,Hypoxanthine,,,
C11,Sample,AG 1,Protein 1,Inosine,,,
C12,Sample,AG 1,Protein 1,2'-DeoxyInosine,,,
D01,Sample,AG 1,Protein 1,L-Ornithine,,,
D02,Sample,AG 1,Protein 1,L-Citrulline,,,
D03,Sample,AG 1,Protein 1,Chorismic Acid,,,
D04,Sample,AG 1,Protein 1,(-)Shikimic Acid,,,
D05,Sample,AG 1,Protein 1,L-Homoserine Lactone,,,
D06,Sample,AG 1,Protein 1,D-Alanine,,,
D07,Sample,AG 1,Protein 1,D-Aspartic Acid,,,
D08,Sample,AG 1,Protein 1,D-Glutamic Acid,,,
D09,Sample,AG 1,Protein 1,2_6-Diaminopimelic Acid,,,
D10,Sample,AG 1,Protein 1,Cytosine,,,
D11,Sample,AG 1,Protein 1,Cytidine,,,
D12,Sample,AG 1,Protein 1,2'-Deoxy Cytidine,,,
E01,Sample,AG 1,Protein 1,Putrescine,,,
E02,Sample,AG 1,Protein 1,Spermidine,,,
E03,Sample,AG 1,Protein 1,Spermine,,,
E04,Sample,AG 1,Protein 1,Pyridoxine,,,
E05,Sample,AG 1,Protein 1,Pyridoxal,,,
E06,Sample,AG 1,Protein 1,Pyridoxamine,,,
E07,Sample,AG 1,Protein 1,beta-Alanine,,,
E08,Sample,AG 1,Protein 1,D-Pantothenic Acid,,,
E09,Sample,AG 1,Protein 1,Orotic Acid,,,
E10,Sample,AG 1,Protein 1,Uracil,,,
E11,Sample,AG 1,Protein 1,Uridine,,,
E12,Sample,AG 1,Protein 1,2'-DeoxyUridine,,,
F01,Sample,AG 1,Protein 1,Quinolinic Acid,,,
F02,Sample,AG 1,Protein 1,Nicotinic Acid,,,
F03,Sample,AG 1,Protein 1,Nicotinamide,,,
F04,Sample,AG 1,Protein 1,beta-NicotinamideAdenine Dinucleotide,,,
F05,Sample,AG 1,Protein 1,delta-Amino-Levulinic Acid,,,
F06,Sample,AG 1,Protein 1,Hematin,,,
F07,Sample,AG 1,Protein 1,DeferoxamineMesylate,,,
F08,Sample,AG 1,Protein 1,D-(+)-Glucose,,,
F09,Sample,AG 1,Protein 1,N-AcetylD-Glucosamine,,,
F10,Sample,AG 1,Protein 1,Thymine,,,
F11,Sample,AG 1,Protein 1,Glutathione (reduced form),,,
F12,Sample,AG 1,Protein 1,Thymidine,,,
G01,Sample,AG 1,Protein 1,Oxaloacetic Acid,,,
G02,Sample,AG 1,Protein 1,D-Biotin,,,
G03,Sample,AG 1,Protein 1,Cyano-Cobalamine,,,
G04,Sample,AG 1,Protein 1,p-Amino-Benzoic acid,,,
G05,Sample,AG 1,Protein 1,Folic Acid,,,
G06,Sample,AG 1,Protein 1,Inosine + Thiamine,,,
G07,Sample,AG 1,Protein 1,Thiamine,,,
G08,Sample,AG 1,Protein 1,Thiaminepyrophosphate,,,
G09,Sample,AG 1,Protein 1,Riboflavin,,,
G10,Sample,AG 1,Protein 1,Pyrrolo-Quinoline Quinone,,,
G11,Sample,AG 1,Protein 1,Menadione,,,
G12,Sample,AG 1,Protein 1,m-Inositol,,,
H01,Sample,AG 1,Protein 1,Butyric Acid,,,
H02,Sample,AG 1,Protein 1,DL-alpha-Hydroxy-Butyric Acid,,,
H03,Sample,AG 1,Protein 1,alpha-Keto-Butyric Acid,,,
H04,Sample,AG 1,Protein 1,Caprylic Acid,,,
H05,Sample,AG 1,Protein 1,DL-alpha-Lipoic Acid (oxidized form),,,
H06,Sample,AG 1,Protein 1,DL-Mevalonic Acid,,,
H07,Sample,AG 1,Protein 1,DL-Carnitine,,,
H08,Sample,AG 1,Protein 1,Choline,,,
H09,Sample,AG 1,Protein 1,Tween 20,,,
H10,Sample,AG 1,Protein 1,Tween 40,,,
H11,Sample,AG 1,Protein 1,Tween 60,,,
H12,Sample,AG 1,Protein 1,Tween 80,,,
