Well,Task,Analysis Group,Protein,Ligand,Buffer,Salt,Omit
G06,Sample,AG 1,Protein 1,DL-Ethionine,,,
G07,Sample,AG 1,Protein 1,L-Methionine,,,
G08,Sample,AG 1,Protein 1,D-Methionine,,,
G09,Sample,AG 1,Protein 1,Glycyl-L-Methionine,,,
G10,Sample,AG 1,Protein 1,N-Acetyl-DL-Methionine,,,
G11,Sample,AG 1,Protein 1,L-Methionine Sulfoxide,,,
G12,Sample,AG 1,Protein 1,L-Methionine Sulfone,,,
H01,Sample,AG 1,Protein 1,L-Djenkolic Acid,,,
H02,Sample,AG 1,Protein 1,Thiourea,,,
H03,Sample,AG 1,Protein 1,1-Thio-beta-D-Glucose,,,
H04,Sample,AG 1,Protein 1,DL-Lipoamide,,,
H05,Sample,AG 1,Protein 1,Taurocholic Acid,,,
H06,Sample,AG 1,Protein 1,Taurine,,,
H07,Sample,AG 1,Protein 1,Hypotaurine,,,
H08,Sample,AG 1,Protein 1,m-Amino Benzene Sulfonic Acid,,,
H09,Sample,AG 1,Protein 1,Butane Sulfonic Acid,,,
H10,Sample,AG 1,Protein 1,2-Hydroxyethane Sulfonic Acid,,,
H11,Sample,AG 1,Protein 1,Methane Sulfonic Acid,,,
H12,Sample,AG 1,Protein 1,Tetramethylene Sulfone,,,
